0;Ticker;доход;риск;кумулятивная просадка;макс. Просадка
1;AAPL;0,591955414;0,029405383;14,76455759;58,96554247
2;MSFT;0,343872992;0,02771637;14,901497;41,54111807
3;ATVI;0,446354418;0,024419174;17,67140767;43,94184168
4;EA;0,28944779;0,022881422;24,33786686;40,83701939
5;HPQ;0,179478915;0,034793658;36,15822726;46,68564457
6;IBM;-0,062809191;0,025887617;58,92129097;39,54452666
7;IT;0,038758868;0,030716579;38,26211447;49,19743668
8;STX;0,043735394;0,027369846;48,42052846;38,57638365
9;AMZN;0,566767645;0,024199195;14,43777038;52,5234677
10;BKNG;0,081147045;0,032568568;35,86878715;48,26920487
11;EBAY;0,330440712;0,02403359;25,85042482;55,55930488
12;FB;0,285828956;0,02902118;16,94002677;51,95617123
13;GOOGLE;0,268908936;0,02431719;20,42886932;42,23850255
14;MA;0,178496306;0,030634937;28,5363045;44,47175789
15;NFLX;0,513504605;0,029100677;15,61109209;46,3049142
16;V;0,151928186;0,026872745;29,44508419;37,94175467
17;ADBE;0,416331339;0,030119479;15,08823255;46,60921694
18;ADSK;0,50942925;0,031813813;17,77099997;55,45948778
19;ORCL;0,199692146;0,025127695;20,19856214;39,05053599
20;AVGO;0,326070883;0,032952193;16,78752607;61,66038598
21;INTC;-0,183424922;0,033983786;73,03849865;35,57762524
22;MU;0,334983587;0,036588822;39,62217173;54,1500399
23;NVDA;0,797104366;0,036616662;10,0588217;66,28210411
24;QCOM;0,546167824;0,033071923;15,94099157;61,64357683
25;TXN;0,24636547;0,027156274;17,34462046;43,90448764
26;BAC;-0,150136412;0,03683405;46,33531481;49,2704826
27;C;-0,259015266;0,042826411;56,73959727;56,79404224
28;JPM;-0,092609383;0,034189699;45,31760605;43,98610816
29;WFC;-0,578094014;0,038678861;74,46702561;60,66976744
30;GS;0,1370751;0,032919034;41,7602938;48,8187782
31;MS;0,293095796;0,035939061;31,45871588;59,41923245
32;SCHW;0,109054274;0,033329817;41,19075037;46,39894419
33;BK;-0,170510007;0,030766606;53,26320376;46,6006216
34;BLK;0,361394246;0,030188522;16,57278018;54,62205838
35;STT;-0,083271683;0,036854473;45,33939186;47,88953208
36;GM;0,129013003;0,038688085;32,36127105;63,83986225
37;F;-0,056399688;0,035093493;35,48909153;57,56613757
38;CCI;0,113215619;0,027025108;37,83573496;32,98579285
39;EQIX;0,201747879;0,025536378;20,90504497;41,42035928
40;PLD;0,111556225;0,029215641;27,26961501;41,98910333
41;PSA;0,08101028;0,023028014;36,12088015;32,01117555
42;SPG;-0,557737853;0,058381204;51,7350845;70,48487694
43;COST;0,248353841;0,018202346;17,59671345;28,56778212
44;WMT;0,193076373;0,019662316;13,54455199;31,89999346
45;JWN;-0,271124734;0,059320761;69,70526905;72,06161137
46;M;-0,412845215;0,058858897;53,40325542;75,52486188
47;AZN;0,002603907;0,022909113;33,21403006;38,15057283
48;AMGN;-0,047355925;0,023941627;42,73443092;30,16286645
49;BIIB;-0,192136016;0,041875171;75,92978743;33,56578466
50;GILD;-0,109163779;0,023648445;70,617161;32,55952381
51;INCY;-0,003901325;0,026754664;46,41000903;42,40131279
52;REGN;0,252039164;0,027074309;35,5295509;48,92511508
53;VRTX;0,076428053;0,029670296;48,8749183;34,09105906
54;ABBV;0,190775295;0,02198982;32,29280134;40,64599245
55;ABBV;0,190775295;0,02198982;32,29280134;40,64599245
56;LLY;0,25047713;0,026363118;38,72272883;31,037479
57;MRK;-0,105975711;0,02006191;53,52774579;27,86007293
58;PFE;-0,062396865;0,022718781;44,94102269;33,05921053
59;JNJ;0,176362389;0,030396601;18,22850207;45,38983241
60;UNH;0,075947449;0,019088855;42,79356385;29,38111577
61;T;-0,306625294;0,022528627;78,1363792;32,68986538
62;VZ;-0,044118682;0,015489793;37,44047804;19,11240687
63;LUMN;-0,303706834;0,033508467;63,25666802;43,13984169
64;COP;-0,486219279;0,046097249;66,54321372;65,89951865
65;CVX;-0,355573094;0,038922458;69,62746258;55,3487606
66;EOG;-0,518535947;0,048654433;65,79938377;66,67039982
67;SLB;-0,610581825;0,049685606;55,09943668;70,48015679
68;XOM;-0,52642386;0,033352039;75,12993682;55,64174894
