AAPL
MSFT
AMZN
NVDA
GOOGL
BRK.B
GOOG
TSLA
UNH
META
XOM
JNJ
JPM
V
PG
MA
CVX
HD
LLY
ABBV
MRK
AVGO
PEP
KO
PFE
TMO
COST
WMT
MCD
CSCO
BAC
CRM
DIS
ACN
ABT
LIN
ADBE
VZ
DHR
TXN
CMCSA
NEE
NKE
PM
AMD
NFLX
WFC
BMY
RTX
ORCL
UPS
T
QCOM
AMGN
INTC
COP
HON
INTU
LOW
UNP
SBUX
BA
IBM
ELV
CAT
PLD
SPGI
MS
GS
LMT
MDT
DE
GILD
GE
BLK
BKNG
AMAT
CVS
SYK
AMT
AXP
ADI
MDLZ
NOW
ISRG
C
TJX
ADP
TMUS
REGN
PGR
MMC
VRTX
PYPL
CB
MO
ZTS
CI
SCHW
SO
TGT
DUK
FISV
SLB
BSX
BDX
EOG
MU
CME
LRCX
NOC
HUM
AON
EQIX
ITW
CSX
CL
APD
ETN
WM
ATVI
MPC
ICE
FCX
CDNS
CCI
SNPS
MMM
HCA
EL
ORLY
FDX
SHW
VLO
KLAC
PXD
GIS
GD
MRNA
EW
F
MCK
PSA
PSX
USB
GM
PNC
DG
SRE
D
AEP
EMR
AZO
MSI
CMG
MCO
NSC
OXY
APH
ROP
KMB
ADM
TFC
NXPI
DXCM
MCHP
MAR
CTVA
FTNT
EXC
ADSK
MSCI
AJG
A
ECL
BIIB
PH
HES
TRV
TEL
MNST
SYY
NEM
IDXX
MET
ANET
DOW
TT
CTAS
O
JCI
XEL
TDG
HSY
AIG
LHX
HLT
CHTR
NUE
COF
